,date,home_team,home_score,away_score,away_team,neutral
269,2010-10-02,Avaí,0,0,São Paulo,False
270,2010-10-06,São Paulo,2,0,Vitória,False
271,2010-10-06,Fluminense,0,3,Santos,False
272,2010-10-06,Guarani,1,1,Botafogo,False
273,2010-10-06,Atlético-MG,2,1,Corinthians,False
274,2010-10-06,Grêmio,4,0,Prudente,False
275,2010-10-06,Ceará,1,0,Internacional,False
276,2010-10-06,Atlético-PR,0,0,Vasco da Gama,False
277,2010-10-07,Flamengo,2,0,Atlético-GO,False
278,2010-10-07,Palmeiras,4,1,Avaí,False
279,2010-10-07,Goiás,0,1,Cruzeiro,False
280,2010-10-09,Santos,2,0,Atlético-PR,False
281,2010-10-09,Prudente,2,3,São Paulo,False
282,2010-10-09,Vasco da Gama,3,3,Grêmio,False
283,2010-10-10,Corinthians,3,4,Atlético-GO,False
284,2010-10-10,Botafogo,0,0,Palmeiras,False
285,2010-10-10,Cruzeiro,1,0,Fluminense,False
286,2010-10-10,Internacional,1,0,Atlético-MG,False
287,2010-10-10,Goiás,1,0,Vitória,False
288,2010-10-10,Ceará,2,0,Guarani,False
289,2010-10-10,Avaí,2,2,Flamengo,False
290,2010-10-16,Flamengo,3,0,Internacional,False
291,2010-10-16,Atlético-PR,2,1,Goiás,False
292,2010-10-17,São Paulo,4,3,Santos,False
293,2010-10-17,Palmeiras,1,1,Ceará,False
294,2010-10-17,Fluminense,0,0,Botafogo,False
295,2010-10-17,Guarani,0,0,Corinthians,False
296,2010-10-17,Atlético-MG,2,0,Avaí,False
297,2010-10-17,Grêmio,2,1,Cruzeiro,False
298,2010-10-17,Atlético-GO,2,0,Vasco da Gama,False
299,2010-10-17,Vitória,2,0,Prudente,False
300,2010-10-23,Guarani,0,1,Atlético-GO,False
301,2010-10-23,Botafogo,1,0,Vitória,False
302,2010-10-24,Corinthians,1,0,Palmeiras,False
303,2010-10-24,Santos,2,3,Prudente,False
304,2010-10-24,Vasco da Gama,1,1,Flamengo,False
305,2010-10-24,Cruzeiro,3,4,Atlético-MG,False
306,2010-10-24,Grêmio,2,2,Internacional,False
307,2010-10-24,Goiás,1,0,Avaí,False
308,2010-10-24,Ceará,2,0,São Paulo,False
309,2010-10-24,Atlético-PR,2,2,Fluminense,False
310,2010-10-27,Flamengo,1,1,Corinthians,False
