,date,home_team,home_score,away_score,away_team,neutral,knockout,category
196,1996-10-26,Bragantino,3,1,Juventude,False,False,first
197,1996-10-26,Guarani,1,0,Bahia,False,False,first
198,1996-10-27,Parana,2,0,Criciuma,False,False,first
199,1996-10-26,Atletico PR,6,2,Sport,False,False,first
200,1996-10-26,Atletico MG,4,3,Botafogo,False,False,first
201,1996-10-26,Goias,1,0,Cruzeiro,False,False,first
202,1996-10-26,Flamengo,1,2,Internacional,False,False,first
203,1996-10-26,Gremio,1,1,Palmeiras,False,False,first
204,1996-11-02,Juventude,0,2,Corinthians,False,False,first
205,1996-11-02,Sao Paulo,5,3,Criciuma,False,False,first
206,1996-11-02,Palmeiras,1,0,Flamengo,False,False,first
207,1996-11-03,Fluminense,0,2,Parana,False,False,first
208,1996-11-02,Sport,3,2,Vitoria,False,False,first
209,1996-11-03,Internacional,0,2,Atletico PR,False,False,first
210,1996-11-02,Bahia,1,3,Portuguesa,False,False,first
211,1996-11-02,Santos,2,2,Bragantino,False,False,first
212,1996-11-02,Guarani,0,2,Gremio,False,False,first
213,1996-11-02,Botafogo,1,2,Vasco da Gama,False,False,first
214,1996-11-02,Cruzeiro,2,1,Atletico MG,False,False,first
215,1996-11-03,Coritiba,0,1,Goias,False,False,first
216,1996-10-30,Vitoria,2,1,Internacional,False,False,first
217,1996-11-06,Flamengo,2,1,Sport,False,False,first
218,1996-11-06,Gremio,4,2,Fluminense,False,False,first
219,1996-11-06,Parana,1,1,Botafogo,False,False,first
220,1996-11-06,Portuguesa,1,0,Palmeiras,False,False,first
221,1996-11-06,Juventude,2,2,Sao Paulo,False,False,first
222,1996-11-06,Bragantino,2,2,Atletico MG,False,False,first
223,1996-11-06,Criciuma,3,0,Goias,False,False,first
224,1996-11-06,Atletico PR,0,0,Guarani,False,False,first
225,1996-11-06,Vasco da Gama,1,2,Santos,False,False,first
226,1996-11-14,Cruzeiro,0,0,Coritiba,False,False,first
227,1996-11-13,Corinthians,0,0,Bahia,False,False,first
228,1996-11-09,Coritiba,0,0,Flamengo,False,False,first
229,1996-11-09,Criciuma,2,1,Palmeiras,False,False,first
230,1996-11-09,Sao Paulo,2,1,Gremio,False,False,first
231,1996-11-09,Botafogo,0,0,Cruzeiro,False,False,first
232,1996-10-10,Atletico MG,5,1,Vasco da Gama,False,False,first
233,1996-11-09,Sport,0,0,Corinthians,False,False,first
234,1996-11-10,Fluminense,2,3,Atletico PR,False,False,first
235,1996-11-09,Guarani,0,1,Portuguesa                the match,False,False,first
236,1996-11-09,Santos,1,0,Vitoria                   condemned to play its next,False,False,first
237,1996-11-10,Bahia,4,2,Bragantino,False,False,first
238,1996-11-10,Internacional,2,1,Parana,False,False,first
239,1996-11-09,Goias,4,1,Juventude,False,False,first
240,1996-11-16,Juventude,3,5,Botafogo,False,False,first
241,1996-11-16,Bragantino,3,4,Sao Paulo,False,False,first
242,1996-11-16,Corinthians,1,1,Goias,False,False,first
243,1996-11-16,Flamengo,3,1,Fluminense,False,False,first
