date,home_team,home_score,away_score,away_team,neutral,knockout,category
1994-10-02,Guarani,0,0,Internacional,False,False,second
1994-10-02,Grêmio,2,1,Portuguesa-SP,False,False,second
1994-10-05,Paysandu,1,0,Vasco da Gama,False,False,second
1994-10-08,Portuguesa-SP,1,1,Guarani,False,False,second
1994-10-09,Corinthians,3,0,Grêmio,False,False,second
1994-10-09,Fluminense,0,0,Vasco da Gama,False,False,second
1994-10-09,Internacional,3,1,Paysandu,False,False,second
1994-10-12,Internacional,3,2,Fluminense,False,False,second
1994-10-12,Guarani,2,1,Corinthians,False,False,second
1994-10-19,Vasco da Gama,1,0,Portuguesa-SP,False,False,second
1994-10-19,Paysandu,1,0,Grêmio,False,False,second
1994-10-12,Portuguesa-SP,1,0,Paysandu,False,False,second
1994-10-15,Corinthians,2,1,Vasco da Gama,False,False,second
1994-10-15,Fluminense,1,2,Guarani,False,False,second
1994-10-16,Grêmio,1,1,Internacional,False,False,second
1994-10-23,Corinthians,2,1,Portuguesa-SP,False,False,second
1994-10-23,Grêmio,1,2,Guarani,False,False,second
1994-10-23,Vasco da Gama,5,2,Internacional,False,False,second
1994-10-23,Paysandu,0,0,Fluminense,False,False,second
1994-10-26,Internacional,0,0,Corinthians,False,False,second
1994-10-26,Vasco da Gama,0,2,Grêmio,False,False,second
1994-10-26,Guarani,2,2,Paysandu,False,False,second
1994-10-27,Fluminense,2,1,Portuguesa-SP,False,False,second
1994-10-29,Corinthians,2,1,Paysandu,False,False,second
1994-10-29,Guarani,2,0,Vasco da Gama,False,False,second
1994-10-30,Portuguesa-SP,1,0,Internacional,False,False,second
1994-10-30,Grêmio,3,1,Fluminense,False,False,second
1994-10-01,Palmeiras,1,0,Sport,False,False,second
1994-10-02,Flamengo,1,1,Santos,False,False,second
1994-10-02,Bahia,1,1,Paraná,False,False,second
1994-10-14,São Paulo,1,0,Botafogo,False,False,second
1994-09-27,Botafogo,1,1,Bahia,False,False,second
1994-10-08,Palmeiras,1,0,Paraná,False,False,second
1994-10-08,Santos,2,3,São Paulo,False,False,second
1994-10-08,Sport,1,0,Flamengo,False,False,second
1994-10-12,Paraná,0,0,Sport,False,False,second
1994-10-22,Santos,2,0,Botafogo,False,False,second
1994-10-22,Flamengo,2,0,Palmeiras,False,False,second
1994-10-23,São Paulo,1,1,Bahia,False,False,second
1994-10-15,Bahia,1,1,Palmeiras,False,False,second
1994-10-16,Paraná,2,2,São Paulo,False,False,second
1994-10-16,Botafogo,1,0,Flamengo,False,False,second
1994-10-16,Santos,2,2,Sport,False,False,second
1994-10-22,Palmeiras,2,0,Santos,False,False,second
1994-10-22,Botafogo,3,2,Paraná,False,False,second
1994-10-22,Sport,2,1,Bahia,False,False,second
1994-10-28,São Paulo,3,0,Flamengo,False,False,second
1994-10-26,Palmeiras,1,0,Botafogo,False,False,second
1994-10-26,Paraná,0,0,Flamengo,False,False,second
1994-10-26,Bahia,3,2,Santos,False,False,second
1994-11-01,Sport,5,2,São Paulo,False,False,second
